VICTORIA TX,9002 N NAVARRO ST,VICTORIA,TX,77904,28.885105286299606,-96.99542631424669
SULPHUR LA,525 N CITIES SERVICE HWY,SULPHUR,LA,70663,30.2313,-93.3255
JACKSON TN,2196 EMPORIUM DR,JACKSON,TN,38305,35.66749469784944,-88.8544
FREDERICKTOWN MO,1025 WALTON DR,FREDERICKTOWN,MO,63645,37.7869,-90.4359
LAMAR MO,29 SW 1ST LN,LAMAR,MO,64759,37.49694378035602,-94.30046405491099
MARYSVILLE KS,1174 PONY EXPRESS HWY,MARYSVILLE,KS,66508,39.8418,-96.60516666666666
TAYLORVILLE IL,1530 W SPRINGFIELD RD,TAYLORVILLE,IL,62568,39.57016508641591,-89.313169890027
PALESTINE TX,2223 S LOOP 256,PALESTINE,TX,75801,31.7321578,-95.622091
AUGUSTA KS,719 W 7TH AVE,AUGUSTA,KS,67010,37.6792,-96.98634545454546
TOMBALL TX,25800 KUYKENDAHL RD,TOMBALL,TX,77375,30.1182241,-95.5582803
OPELIKA AL,2900 PEPPERELL PKWY,OPELIKA,AL,36801,32.6356,-85.4205
"FAYETTEVILLE, AR",3919 NO. MALL AVE,FAYETTEVILLE,AR,72703,36.1183,-94.0432
COLLINSVILLE IL,1040 COLLINSVILLE CROSSING BLV,COLLINSVILLE,IL,62234,38.6832,-89.9821
"MARSHALL, MO",855 CHEROKEE DR,MARSHALL,MO,65340,39.11452307692308,-93.2133
"PEARL, MS",5520 HIGHWAY 80 E,PEARL,MS,39208,32.2860437,-90.0463059
"PARSONS, KS",3201 NO 16TH ST,PARSONS,KS,67357,37.3459,-95.2616
GRANBURY TX,735 E HIGHWAY 377,GRANBURY,TX,76048,32.5232836,-97.6132957
DODGE CITY KS,1905 N 14TH AVE,DODGE CITY,KS,67801,37.7675,-100.0328
HUNTSVILLE AR,157 GARY HATFIELD WAY,HUNTSVILLE,AR,72740,36.1046,-93.6554
HUNTSVILLE AL,3031 MEMORIAL PKWY SW,HUNTSVILLE,AL,35801,34.7029561,-86.5854825
OTTAWA KS,2101 S PRINCETON ST,OTTAWA,KS,66067,38.583190625,-95.2678
LUMBERTON TX,100 NO. LHS DRIVE,LUMBERTON,TX,77657,30.2279,-94.197
FT SMITH AR,2100 NO. 62ND ST.,FORT SMITH,AR,72904,35.4133,-94.3824
EDMOND OK,1225 W I-35 FRONTAGE,EDMOND,OK,73034,35.6201,-97.4243
WAVERLY TN,275 WALTON DR,WAVERLY,TN,37185,36.0643,-87.8576
TUPELO MS,2270 W MAIN ST,TUPELO,MS,38801,34.252,-88.7581
WEATHERFORD OK,1349 E EAGLE RD,WEATHERFORD,OK,73096,35.5224,-98.6527
JACKSON TN/BEMIS,2171 S HIGHLAND AVE,JACKSON,TN,38301,35.5534,-88.8096
MOULTON AL,15445 HIGHWAY 24,MOULTON,AL,35650,34.49311542921683,-87.27431484939807
MISSION TX,2410 E EXPRESSWAY 83,MISSION,TX,78572,26.197420148732654,-98.3022866704242
ANDERSON SC,3812 LIBERTY HWY,ANDERSON,SC,29621,34.55660150781157,-82.6823186650991
"MCALLEN, TX",1200 E JACKSON AVE,MCALLEN,TX,78503,26.1911,-98.2098959081231
LONGVIEW TX,2440 GILMER RD,LONGVIEW,TX,75604,32.53225693432384,-94.7884702502778
CONROE TX,1407 N LOOP 336 W,CONROE,TX,77304,30.3306,-95.4899
SAN MARCOS TX,1015 HIGHWAY 80,SAN MARCOS,TX,78666,29.88667435547472,-97.95362327373485
LEESVILLE LA,2204 S 5TH ST,LEESVILLE,LA,71446,31.121744619318953,-93.26860923011351
"SMYRNA, TN",570 ENON SPRINGS RD E,SMYRNA,TN,37167,35.9752,-86.5118
KILLEEN TX,1400 LOWES BLVD,KILLEEN,TX,76542,31.091635649953766,-97.72901389972257
"PORT ARTHUR, TX",8585 MEMORIAL BLVD,PORT ARTHUR,TX,77640,29.9143,-93.9501
HALEYVILLE AL,42466 HIGHWAY 195,HALEYVILLE,AL,35565,34.2438,-87.5868
MURFREESBORO S TN,140 JOE B JACKSON PARKWAY,MURFREESBORO,TN,37127,35.7752035,-86.3996933
SULPHUR SPRINGS TX,1750 S BROADWAY ST,SULPHUR SPRINGS,TX,75482,33.10723356929374,-95.5969941926394
FAIRBURY NE,2831 HIGHWAY 15,FAIRBURY,NE,68352,40.16153775510204,-97.1809
DECATUR TX,800 S US HWY 81/287,DECATUR,TX,76234,33.2763,-97.5142
PELHAM AL,630 COLONIAL PROMENADE PKWY,ALABASTER,AL,35007,33.2356359,-86.801281
