"Store Nbr","Mod Footage","Store Name","Store Type","Building Address","Building City","Building State/Prov","Building Postal Code"
"690","12","ELIZABETHTON TN","Supercenter","1001 OVER MOUNTAIN DR","ELIZABETHTON","TN","37643"
"694","12","HENDERSON KY","Supercenter","1195 BARRETT BLVD","HENDERSON","KY","42420"
"697","12","OCALA FL","Supercenter","2600 SW 19TH AVENUE RD","OCALA","FL","34471"
"699","12","OXFORD MS","Supercenter","2530 JACKSON AVE W","OXFORD","MS","38655"
"701","12","OWENSBORO, KY","Supercenter","5031 FREDERICA ST","OWENSBORO","KY","42301"
"702","12","WINCHESTER KY","Supercenter","1859 BYPASS RD","WINCHESTER","KY","40391"
"703","12","TOMBALL TX","Supercenter","27650 STATE HIGHWAY 249","TOMBALL","TX","77375"
"706","12","ZEPHYRHILLS FL /UNATILLA","Supercenter","7631 GALL BLVD","ZEPHYRHILLS","FL","33541"
"708","12","VICKSBURG MS","Supercenter","2150 IOWA BLVD","VICKSBURG","MS","39180"
"709","12","ELIZABETHTOWN KY","Supercenter","100 WALMART DR","ELIZABETHTOWN","KY","42701"
"710","12","HERMITAGE TN","Supercenter","4424 LEBANON PIKE","HERMITAGE","TN","37076"
"718","12","AUBURNDALE FL","Supercenter","2120 US HIGHWAY 92 W","AUBURNDALE","FL","33823"
"719","12","RICHMOND KY","Supercenter","820 EASTERN BYP","RICHMOND","KY","40475"
"720","12","FRANKFORT KY","Supercenter","301 LEONARDWOOD RD","FRANKFORT","KY","40601"
"721","12","PORT CHARLOTTE /MURDOCK","Supercenter","19100 MURDOCK CIR","PORT CHARLOTTE","FL","33948"
"722","12","CARROLLTON GA","Supercenter","1735 S HIGHWAY 27","CARROLLTON","GA","30117"
"723","12","TROY AL","Supercenter","1420 HIGHWAY 231 S","TROY","AL","36081"
"725","12","HAINES CITY FL","Supercenter","36205 US HIGHWAY 27","HAINES CITY","FL","33844"
"726","12","ALEXANDER CITY AL","Supercenter","2643 HIGHWAY 280","ALEXANDER CITY","AL","35010"
"728","12","HILTON HD ISL SC","Supercenter","25 PEMBROKE DR","HILTON HEAD ISLAND","SC","29926"
"734","12","ENTERPRISE AL","Supercenter","600 BOLL WEEVIL CIR","ENTERPRISE","AL","36330"
"736","12","RUSSELVILLE KY","Supercenter","120 SAM WALTON DR","RUSSELLVILLE","KY","42276"
"739","12","MIDDLESBORO KY","Supercenter","US HWY 441 HWY 25E","MIDDLESBORO","KY","40965"
"741","12","LENOIR CITY, TN","Supercenter","911 HIGHWAY 321 N","LENOIR CITY","TN","37771"
"742","12","KINGSPORT TN","Supercenter","2500 W STONE DR","KINGSPORT","TN","37660"
"743","12","OKLAHOMA CITY OK","Supercenter","100 EAST I-240 SERVICE RD","OKLAHOMA CITY","OK","73149"
"744","12","ATASCOCITA TX","Supercenter","6626 FM 1960 RD E","HUMBLE","TX","77346"
"745","12","STOCKBRIDGE GA","Supercenter","5600 N HENRY BLVD","STOCKBRIDGE","GA","30281"
"752","12","PASADENA TX","Supercenter","5200 FAIRMONT PKWY","PASADENA","TX","77505"
"753","12","CEDAR FALLS IA","Supercenter","525 BRANDILYNN BLVD","CEDAR FALLS","IA","50613"
"754","12","STATESBORO GA","Supercenter","147 NORTHSIDE DR E","STATESBORO","GA","30458"
"755","12","AMARILLO TX","Supercenter","4610 S COULTER ST","AMARILLO","TX","79119"
"759","12","WAUCHULA FL","Supercenter","1480 US HIGHWAY 17 N","WAUCHULA","FL","33873"
"762","12","BIRMINGHAM/CENTERPOINT","Supercenter","9248 PARKWAY E","BIRMINGHAM","AL","35206"
"765","12","SAN ANTONIO, TX","Supercenter","16503 NACOGDOCHES RD","SAN ANTONIO","TX","78247"
