2939 Market Pl,Salina,KS,67401,38.78484640178327,-97.611
2401 E Kansas Ave,Garden City,KS,67846,37.9793091670866,-100.84232181320996
19955 Katy Fwy,Houston,TX,77094,29.7838423,-95.610946
4734 E Ray Rd,Phoenix,AZ,85044,33.3214506,-111.9811846
3944 Grand Ave,Chino,CA,91710,34.001487,-117.7187671
26762 Portola Pkwy,Foothill Ranch,CA,92610,33.67939958730943,-117.66428243002191
30602 Santa Margarita Pkwy,Rancho Santa Margarita,CA,92688,33.5198,-117.4944
1905 Scenic Hwy N,Snellville,GA,30078,33.873889811239096,-84.01401536073914
1900 Matthews Township Pkwy,Matthews,NC,28105,35.1219,-80.7165592369478
4401 Commercial Way,Spring Hill,FL,34606,28.4955824,-82.5985875
11253 Pines Blvd,Pembroke Pines,FL,33026,26.0093019,-80.2997589
93 Stonebrook Pl,Jackson,TN,38305,35.68913293015116,-88.85734007187334
8043 Challis Rd,Brighton,MI,48116,42.5439,-83.79300344827585
23555 Allen Rd,Woodhaven,MI,48183,42.136808654017884,-83.22577231503058
4097 E Blue Grass Rd,Mount Pleasant,MI,48858,43.5756,-84.76678571428572
900 42nd Avenue Dr,Moline,IL,61265,41.46945502837329,-90.52522485813358
2209 Howard St,Evanston,IL,60202,42.0186636,-87.8062737
6150 W Touhy Ave,Niles,IL,60714,42.0130799,-87.7799392
4370 Venture Dr,Peru,IL,61354,41.363,-89.1295504155131
125 Lincoln Ave SE,Saint Cloud,MN,56304,45.5590741,-94.140575
2021 Market Dr,Stillwater,MN,55082,45.0368,-92.83978621282176
1650 S Milton Rd,Flagstaff,AZ,86001,35.1844,-111.6615
15444 N Frank Lloyd Wright Blvd,Scottsdale,AZ,85260,33.627118,-111.8888456
19201 Bear Valley Rd,Apple Valley,CA,92308,34.4685253,-117.2451789
72549 Highway 111,Palm Desert,CA,92260,33.7239612,-116.4031747
2656 N Elston Ave,Chicago,IL,60647,41.9285868,-87.6849834
2102 N Prospect Ave,Champaign,IL,61822,40.14242,-88.2579
51400 Gratiot Ave,Chesterfield,MI,48051,42.676862221778336,-82.83128628571303
1529 E 17th Ave,Hutchinson,KS,67501,38.0722,-97.90260769230768
9440 Marsh Ln,Dallas,TX,75220,32.8623862,-96.8542892
4515 E Thomas Rd,Phoenix,AZ,85018,33.4775272,-111.984743
4900 E Main St,Farmington,NM,87402,36.7687094,-108.1479037
4200 S Medford Dr,Lufkin,TX,75901,31.313236283473,-94.71962360511303
4323 San Felipe St,Houston,TX,77027,29.7452173,-95.4531179
50 E North Ave,Villa Park,IL,60181,41.9076077,-87.9006684
160 American Ave,Bowling Green,KY,42104,36.95044020599234,-86.43769370979392
2823 Wilma Rudolph Blvd,Clarksville,TN,37040,36.5452068,-87.336812
2021 Walnut St,Cary,NC,27518,35.7581505,-78.7394045
731 Sutters Creek Blvd,Rocky Mount,NC,27804,35.97105221457383,-77.81147517980091
1150 Seaboard St,Myrtle Beach,SC,29577,33.7128867,-78.8932664
1204 Sunburst Dr,Goldsboro,NC,27534,35.3801932,-77.9391207
9801 Sam Furr Rd,Huntersville,NC,28078,35.4431719,-80.8614028
490 Marsh Landing Pkwy,Jacksonville Beach,FL,32250,30.2538812,-81.3898114
7795 SW 40th St,Miami,FL,33155,25.7357674,-80.3210947
100 Cherokee Pl,Cartersville,GA,30121,34.1727,-84.7828
6000 N Point Pkwy,Alpharetta,GA,30022,34.0460193,-84.2862826
